ID,Project,Developer,Location,Type,Bedrooms,LandSqm,BuildSqm,PriceUSD,PricePerSqm,OwnershipType,OwnershipDetail,OwnershipNote,LeaseYears,Extension,Stage,CompletionDate,PaymentPlan,Management,DeveloperROI,ModelROI,ConservativeROI,ROISource,ADRBase,OccupancyBase,ExpensesRatio,LegalScore,LocationLiquidityScore,LeaseExtensionScore,StageRiskScore,PaymentCashflowScore,UniquenessScore,WhyThisObject,FitsClient,RedFlags,SalesNote,PhotoPrefix,Status,UpdatedAt,PresentationURL
K-01,KONO Villas,KONO,Jimbaran,Вилла,1,99.0,59.0,159000,2695,Freehold / Hak Milik,Freehold / Hak Milik — structure needs legal confirmation,"For foreign investors, direct Hak Milik is generally not available. Check if the transaction is via Indonesian nominee, PT PMA/HGB, Hak Pakai, or another legal structure before deposit.",30,Нет,Готово,Q1 2026,Уточнить,Своя,0.153,0.1616,0.1099,Our model: ADR×occupancy×365×net margin/price; occupancy provided,160.0,0.8,0.45,88,74,90,92,45,74,Freehold (редкость на Бали); ROI 14–15%; готово/скоро; Джимбаран — пляж и аэропорт,"Подходит инвестору, которому нужен низкий вход до $200k, локация Jimbaran и сценарий: хочет снизить строительный риск.",SLF только номер; 4BR дорогой ($1.15M),"Можно показывать как доходный вариант, но обязательно разделять developer ROI, model ROI и conservative ROI.",K,Sold,2026-06-29,
K-02,KONO Villas,KONO,Jimbaran,Вилла,2,200.0,176.3,384000,2178,Freehold / Hak Milik,Freehold / Hak Milik — structure needs legal confirmation,"For foreign investors, direct Hak Milik is generally not available. Check if the transaction is via Indonesian nominee, PT PMA/HGB, Hak Pakai, or another legal structure before deposit.",30,Нет,Готово,Q1 2026,100% сразу,Своя,0.138,0.1464,0.0996,Our model: ADR×occupancy×365×net margin/price; occupancy provided,350.0,0.8,0.45,88,74,90,92,82,74,Freehold (редкость на Бали); ROI 14–15%; готово/скоро; Джимбаран — пляж и аэропорт,"Подходит инвестору, которому нужен клиент с большим бюджетом, локация Jimbaran и сценарий: хочет снизить строительный риск.",SLF только номер; 4BR дорогой ($1.15M),"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",K,Sold,2026-06-29,
K-03,KONO Villas,KONO,Jimbaran,Вилла,4,300.0,844.0,1150000,1363,Freehold / Hak Milik,Freehold / Hak Milik — structure needs legal confirmation,"For foreign investors, direct Hak Milik is generally not available. Check if the transaction is via Indonesian nominee, PT PMA/HGB, Hak Pakai, or another legal structure before deposit.",30,Нет,Скоро,Q3 2026,100% сразу,Своя,0.139,0.1466,0.0945,Our model: ADR×occupancy×365×net margin/price; occupancy provided,1050.0,0.8,0.45,88,74,90,82,82,74,Freehold (редкость на Бали); ROI 14–15%; готово/скоро; Джимбаран — пляж и аэропорт,"Подходит инвестору, которому нужен клиент с большим бюджетом, локация Jimbaran и сценарий: готов сначала добрать DD по объекту.",SLF только номер; 4BR дорогой ($1.15M),"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",K,Available,2026-06-29,
OA-01,Oasis Villas Pandawa,BaliProDev,Pandawa,Вилла,3,200.0,98.0,255000,2602,Leasehold,Leasehold 28 years + +20 лет,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",28,+20 лет,Готово,Q1 2026,Рассрочка,Есть,0.108,0.1095,0.0736,Our model: ADR×occupancy×365×net margin/price; occupancy provided,188.0,0.74,0.45,98,76,66,92,82,74,Доходность подтверждена фактом (12.8%); готово и работает; полный PBG + земля; пляж Pandawa,"Подходит инвестору, которому нужен средний чек до $350k, локация Pandawa и сценарий: хочет снизить строительный риск.","один тип 3BR, в пешей доступности мало инфраструктуры","Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",OA,Available,2026-06-29,https://adjoining-rake-6a0.notion.site/OASIS-VILLAS-PANDAWA-RU-246e85cbd1fc80839231ea48bd3b9882
UE-01,Privé Pererenan,Urban Escape,Pererenan,Вилла,1,70.0,73.0,248000,3397,Leasehold,Leasehold 35 years + +25 лет,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",35,+25 лет,Строится,Q3 2027,Рассрочка 0%,Есть,0.115,0.1241,0.0785,Our model: ADR×occupancy×365×net margin/price; occupancy provided,187.0,0.82,0.45,98,90,88,66,82,66,Сильная локация Pererenan; застройщик строит на свои; полный PBG,"Подходит инвестору, которому нужен средний чек до $350k, локация Pererenan и сценарий: готов принять off-plan риск ради цены/потенциала.",Офф-план (сдача Q3'27),"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",UE,Available,2026-06-29,https://www.notion.so/Priv-Pererenan-by-Urban-Escape-RU-30a095b1c1f680dfac3fc727f07643aa
UE-02,Privé Pererenan,Urban Escape,Pererenan,Вилла,2,82.0,98.0,352000,3592,Leasehold,Leasehold 35 years + +25 лет,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",35,+25 лет,Строится,Q3 2027,Рассрочка 0%,Есть,0.112,0.1216,0.0769,Our model: ADR×occupancy×365×net margin/price; occupancy provided,260.0,0.82,0.45,98,90,88,66,82,66,Сильная локация Pererenan; застройщик строит на свои; полный PBG,"Подходит инвестору, которому нужен клиент с большим бюджетом, локация Pererenan и сценарий: готов принять off-plan риск ради цены/потенциала.",Офф-план (сдача Q3'27),"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",UE,Available,2026-06-29,https://www.notion.so/Priv-Pererenan-by-Urban-Escape-RU-30a095b1c1f680dfac3fc727f07643aa
UE-03,Privé Pererenan,Urban Escape,Pererenan,Вилла,3,127.0,159.0,517000,3252,Leasehold,Leasehold 35 years + +25 лет,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",35,+25 лет,Строится,Q3 2027,Рассрочка 0%,Есть,0.111,0.121,0.0765,Our model: ADR×occupancy×365×net margin/price; occupancy provided,380.0,0.82,0.45,98,90,88,66,82,66,Сильная локация Pererenan; застройщик строит на свои; полный PBG,"Подходит инвестору, которому нужен клиент с большим бюджетом, локация Pererenan и сценарий: готов принять off-plan риск ради цены/потенциала.",Офф-план (сдача Q3'27),"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",UE,Available,2026-06-29,https://www.notion.so/Priv-Pererenan-by-Urban-Escape-RU-30a095b1c1f680dfac3fc727f07643aa
UE-04,Privé Pererenan,Urban Escape,Pererenan,Вилла,4,197.0,210.0,698000,3324,Leasehold,Leasehold 35 years + +25 лет,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",35,+25 лет,Строится,Q3 2027,Рассрочка 0%,Есть,0.114,0.1224,0.0774,Our model: ADR×occupancy×365×net margin/price; occupancy provided,519.0,0.82,0.45,98,90,88,66,82,66,Сильная локация Pererenan; застройщик строит на свои; полный PBG,"Подходит инвестору, которому нужен клиент с большим бюджетом, локация Pererenan и сценарий: готов принять off-plan риск ради цены/потенциала.",Офф-план (сдача Q3'27),"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",UE,Available,2026-06-29,https://www.notion.so/Priv-Pererenan-by-Urban-Escape-RU-30a095b1c1f680dfac3fc727f07643aa
SE-01,Serenity Estates,GBH,Ubud,Вилла,2,318.0,155.0,285000,1839,Leasehold,Leasehold 30 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",30,Уточнить,Строится,Q3 2027,Уточнить,Есть,0.12,0.124,0.0781,Our model: ADR×occupancy×365×net margin/price; occupancy provided,220.0,0.8,0.45,98,70,72,66,45,66,"полный PBG + земля; участок 318 m² (бассейн, сад); Убуд (велнес)","Подходит инвестору, которому нужен средний чек до $350k, локация Ubud и сценарий: готов принять off-plan риск ради цены/потенциала.",Офф-план; ROI прогноз; восточнее Убуда — ликвидность ниже пляжных,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",SE,Available,2026-06-29,https://drive.google.com/drive/folders/1Sxe16t9ES8HN1ZNWBjcw4LDnQg_O2aac
UM-01,Umalas Private Suite,Kaluna,Umalas,Вилла,1,50.0,56.0,125000,2232,Leasehold,Leasehold 30 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",30,Уточнить,Строится,Q1 2027,Рассрочка,Своя,0.12,0.1283,0.0815,Our model: ADR×occupancy×365×net margin/price; occupancy provided,94.0,0.85,0.45,88,78,72,66,82,74,Низкий вход $125k; ликвидная локация Умалас (рядом Чангу/Семиньяк); ROI 12%,"Подходит инвестору, которому нужен низкий вход до $200k, локация Umalas и сценарий: готов принять off-plan риск ради цены/потенциала.",PBG только номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",UM,Available,2026-06-29,https://drive.google.com/file/d/1DCj9fJposZNu7ns5ozCwccW8ykWDFlpq/view
TB-01,Tumbak Bayuh Private Suite,Kaluna,Tumbak Bayuh,Вилла,1,,35.0,95000,2714,Leasehold,Leasehold 30 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",30,Уточнить,Строится,Q2 2027,Рассрочка / ипотека (взнос ~$57k),Своя,0.11,0.1509,0.0959,Our model: ADR×occupancy×365×net margin/price; occupancy provided,84.0,0.85,0.45,68,78,72,66,82,66,Очень низкий вход ($95k–150k); рядом Чангу/Переренан; Bank Guarantee (Kaluna),"Подходит инвестору, которому нужен низкий вход до $200k, локация Tumbak Bayuh и сценарий: готов принять off-plan риск ради цены/потенциала.",PBG только номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",TB,Available,2026-06-29,https://drive.google.com/drive/folders/16y4Z4gVFLL2FJtSbrilChqEmSbwDotS6
TB-02,Tumbak Bayuh Private Suite,Kaluna,Tumbak Bayuh,Вилла,2,,69.5,150000,2158,Leasehold,Leasehold 30 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",30,Уточнить,Строится,Q2 2027,Рассрочка / ипотека (взнос ~$50k),Своя,0.125,0.132,0.0838,Our model: ADR×occupancy×365×net margin/price; occupancy provided,116.0,0.85,0.45,68,78,72,66,82,66,Очень низкий вход ($95k–150k); рядом Чангу/Переренан; Bank Guarantee (Kaluna),"Подходит инвестору, которому нужен низкий вход до $200k, локация Tumbak Bayuh и сценарий: готов принять off-plan риск ради цены/потенциала.",PBG только номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",TB,Available,2026-06-29,https://drive.google.com/drive/folders/16y4Z4gVFLL2FJtSbrilChqEmSbwDotS6
AL-01,Villa Alicante,DreamHouse,Ubud,Вилла,2,295.0,151.5,283400,1871,Leasehold,Leasehold 22 years + Да,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",22,Да,Готово,Q3 2025,100% сразу,Bali Legends,0.068,0.0724,0.0485,Our model: ADR×occupancy×365×net margin/price; occupancy provided,142.0,0.72,0.45,88,70,48,92,82,74,Готово и работает в центре Убуда; факт-доходность; большой участок земли,"Подходит инвестору, которому нужен средний чек до $350k, локация Ubud и сценарий: хочет снизить строительный риск.",Низкий факт-ROI 6.8% (реальность ниже глянца); короткий лизхолд 22 г; одна вилла,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",AL,Available,2026-06-29,https://drive.google.com/file/d/1nV8y-wxX8m925MNLxAtS7wmyBuLj9ioR/view
V-02,Vasana,Kaluna,Tabanan/Kedungu,Вилла,2,120.0,105.0,195000,1857,Leasehold,Leasehold 30 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",30,Уточнить,Офплан,1 год после покупки,Рассрочка,Своя,0.11,0.0898,0.0566,Our model: ADR×occupancy×365×net margin/price; occupancy provided,109.0,0.8,0.45,88,64,72,50,82,95,"Океан-фронт с видом (уникальный сайт); курорт Ciputra, рядом Nuanu; опция freehold","Подходит инвестору, которому нужен низкий вход до $200k, локация Tabanan/Kedungu и сценарий: готов сначала добрать DD по объекту.",Стройка начнется только после покупки,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",V,Available,2026-06-29,
V-01,Vasana,Kaluna,Tabanan/Kedungu,Вилла,3,200.0,135.0,245000,1815,Leasehold,Leasehold 30 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",30,Уточнить,Офплан,1 год после покупки,Рассрочка,Своя,0.12,0.0819,0.0516,Our model: ADR×occupancy×365×net margin/price; occupancy provided,125.0,0.8,0.45,88,64,72,50,82,95,"Океан-фронт с видом (уникальный сайт); курорт Ciputra, рядом Nuanu; опция freehold","Подходит инвестору, которому нужен средний чек до $350k, локация Tabanan/Kedungu и сценарий: готов сначала добрать DD по объекту.",Стройка начнется только после покупки,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",V,Available,2026-06-29,
SF-01,Surfside,Surfside,Uluwatu/Bingin,Апартаменты,1,,48.0,159000,3312,Leasehold,Leasehold 28 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",28,Уточнить,Скоро,Q3 2026,Рассрочка,Есть,0.11,0.1315,0.0841,Our model: ADR×occupancy×365×net margin/price; occupancy market default,137.0,0.76,0.45,88,84,66,82,82,66,Топ-локация Улувату/Bingin; сдача скоро (Q3'26); Доход «гарантия» 6/8/10%,"Подходит инвестору, которому нужен низкий вход до $200k, локация Uluwatu/Bingin и сценарий: готов сначала добрать DD по объекту.",PBG номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",SF,Available,2026-06-29,
SF-02,Surfside,Surfside,Uluwatu/Bingin,Апартаменты,1,,65.0,199000,3062,Leasehold,Leasehold 28 years + Уточнить,"Check extension formula, who is obligated to extend, payment basis, and what happens if extension is not executed.",28,Уточнить,Скоро,Q3 2026,Рассрочка,Есть,0.11,0.1434,0.0917,Our model: ADR×occupancy×365×net margin/price; occupancy market default,187.0,0.76,0.45,88,84,66,82,82,66,Топ-локация Улувату/Bingin; сдача скоро (Q3'26); Доход «гарантия» 6/8/10%,"Подходит инвестору, которому нужен низкий вход до $200k, локация Uluwatu/Bingin и сценарий: готов сначала добрать DD по объекту.",PBG номер,"Показывать как точечный вариант: нужен акцент на локацию, формат, юридику и сценарий клиента, а не только на ROI.",SF,Available,2026-06-29,
